C,g,Precision,Recall,F-Score,Support
2.0,0.54,0.92,0.92,0.92,300.0
2.0,0.55,0.92,0.92,0.92,300.0
2.0,0.56,0.93,0.92,0.92,300.0
2.0,0.5700000000000001,0.92,0.92,0.92,300.0
2.0,0.5800000000000001,0.92,0.92,0.92,300.0
2.0,0.59,0.92,0.92,0.92,300.0
2.0,0.6,0.92,0.92,0.92,300.0
2.0,0.61,0.92,0.92,0.92,300.0
2.0,0.62,0.92,0.92,0.92,300.0
2.0,0.63,0.92,0.92,0.92,300.0
2.0,0.64,0.92,0.92,0.92,300.0
2.0,0.65,0.92,0.92,0.92,300.0
2.0,0.66,0.92,0.92,0.92,300.0
2.0,0.67,0.93,0.92,0.92,300.0
2.0,0.68,0.93,0.92,0.92,300.0
2.0,0.6900000000000001,0.93,0.92,0.92,300.0
2.0,0.7000000000000001,0.93,0.92,0.92,300.0
2.0,0.7100000000000001,0.93,0.92,0.92,300.0
2.0,0.72,0.93,0.92,0.92,300.0
2.0,0.73,0.93,0.92,0.92,300.0
2.0,0.74,0.93,0.92,0.92,300.0
2.0,0.75,0.93,0.92,0.92,300.0
2.0,0.76,0.93,0.92,0.92,300.0
2.0,0.77,0.93,0.92,0.92,300.0
2.0,0.78,0.93,0.92,0.92,300.0
2.0,0.79,0.93,0.92,0.92,300.0
2.0,0.8,0.93,0.92,0.92,300.0
2.0,0.81,0.93,0.92,0.92,300.0
2.0,0.8200000000000001,0.93,0.92,0.92,300.0
2.0,0.8300000000000001,0.93,0.92,0.92,300.0
2.0,0.8400000000000001,0.93,0.92,0.92,300.0
2.0,0.85,0.93,0.92,0.92,300.0
2.0,0.86,0.93,0.92,0.92,300.0
2.0,0.87,0.93,0.92,0.92,300.0
2.0,0.88,0.93,0.92,0.92,300.0
2.0,0.89,0.93,0.92,0.92,300.0
2.0,0.9,0.93,0.92,0.92,300.0
2.0,0.91,0.93,0.92,0.92,300.0
2.0,0.92,0.93,0.92,0.92,300.0
2.0,0.93,0.93,0.92,0.92,300.0
2.0,0.9400000000000001,0.93,0.92,0.92,300.0
2.0,0.9500000000000001,0.93,0.92,0.92,300.0
2.0,0.9600000000000001,0.93,0.92,0.92,300.0
2.0,0.97,0.93,0.92,0.92,300.0
2.0,0.98,0.93,0.92,0.92,300.0
2.0,0.99,0.93,0.92,0.92,300.0
2.0,1.0,0.93,0.92,0.92,300.0
2.0,1.01,0.93,0.92,0.92,300.0
2.0,1.02,0.93,0.92,0.92,300.0
2.0,1.03,0.93,0.92,0.92,300.0
2.0,1.04,0.93,0.92,0.92,300.0
2.0,1.05,0.93,0.92,0.92,300.0
2.0,1.06,0.93,0.92,0.92,300.0
2.0,1.07,0.93,0.92,0.92,300.0
2.0,1.08,0.93,0.92,0.92,300.0
2.0,1.09,0.93,0.92,0.92,300.0
2.0,1.1,0.93,0.92,0.92,300.0
2.0,1.11,0.93,0.92,0.92,300.0
2.0,1.12,0.93,0.92,0.92,300.0
2.0,1.1300000000000001,0.93,0.92,0.92,300.0
2.0,1.1400000000000001,0.93,0.92,0.92,300.0
2.0,1.1500000000000001,0.93,0.92,0.92,300.0
2.0,1.1600000000000001,0.93,0.92,0.92,300.0
2.0,1.17,0.93,0.92,0.92,300.0
2.0,1.18,0.93,0.92,0.92,300.0
2.0,1.19,0.93,0.92,0.92,300.0
2.0,1.2,0.93,0.92,0.92,300.0
2.0,1.21,0.93,0.92,0.92,300.0
2.0,1.22,0.93,0.92,0.92,300.0
2.0,1.23,0.93,0.92,0.92,300.0
2.0,1.24,0.93,0.92,0.92,300.0
2.0,1.25,0.93,0.92,0.92,300.0
2.0,1.26,0.93,0.92,0.92,300.0
2.0,1.27,0.93,0.92,0.92,300.0
2.0,1.28,0.93,0.92,0.92,300.0
2.0,1.29,0.93,0.92,0.92,300.0
2.0,1.3,0.93,0.92,0.92,300.0
2.0,1.31,0.93,0.92,0.92,300.0
2.0,1.32,0.93,0.92,0.92,300.0
2.0,1.33,0.93,0.92,0.92,300.0
2.0,1.34,0.93,0.92,0.92,300.0
2.0,1.35,0.93,0.92,0.92,300.0
2.0,1.36,0.93,0.92,0.92,300.0
2.0,1.37,0.93,0.92,0.92,300.0
2.0,1.3800000000000001,0.93,0.92,0.92,300.0
2.0,1.3900000000000001,0.93,0.92,0.92,300.0
2.0,1.4000000000000001,0.93,0.92,0.92,300.0
2.0,1.4100000000000001,0.93,0.92,0.92,300.0
2.0,1.42,0.93,0.92,0.92,300.0
2.0,1.43,0.93,0.92,0.92,300.0
2.0,1.44,0.93,0.92,0.92,300.0
2.0,1.45,0.93,0.92,0.92,300.0
2.0,1.46,0.93,0.92,0.92,300.0
2.0,1.47,0.93,0.92,0.92,300.0
2.0,1.48,0.93,0.92,0.92,300.0
2.0,1.49,0.93,0.92,0.92,300.0
2.0,1.5,0.93,0.92,0.92,300.0
2.0,1.51,0.93,0.92,0.92,300.0
2.0,1.52,0.93,0.92,0.92,300.0
2.0,1.53,0.93,0.92,0.92,300.0
2.0,1.54,0.93,0.92,0.92,300.0
2.0,1.55,0.93,0.92,0.92,300.0
2.0,1.56,0.93,0.92,0.92,300.0
2.0,1.57,0.93,0.92,0.92,300.0
2.0,1.58,0.93,0.92,0.92,300.0
2.0,1.59,0.93,0.92,0.92,300.0
2.0,1.6,0.93,0.92,0.92,300.0
2.0,1.61,0.93,0.92,0.92,300.0
2.0,1.62,0.93,0.92,0.92,300.0
2.0,1.6300000000000001,0.93,0.92,0.92,300.0
2.0,1.6400000000000001,0.93,0.92,0.92,300.0
2.0,1.6500000000000001,0.93,0.92,0.92,300.0
2.0,1.6600000000000001,0.93,0.92,0.92,300.0
2.0,1.6700000000000002,0.93,0.92,0.92,300.0
2.0,1.68,0.93,0.92,0.92,300.0
2.0,1.69,0.93,0.92,0.92,300.0
2.0,1.7,0.93,0.92,0.92,300.0
2.0,1.71,0.93,0.92,0.92,300.0
2.0,1.72,0.93,0.92,0.92,300.0
2.0,1.73,0.93,0.92,0.92,300.0
2.0,1.74,0.93,0.92,0.92,300.0
2.0,1.75,0.93,0.92,0.92,300.0
2.0,1.76,0.93,0.92,0.92,300.0
2.0,1.77,0.93,0.92,0.92,300.0
2.0,1.78,0.93,0.92,0.92,300.0
2.0,1.79,0.93,0.92,0.92,300.0
2.0,1.8,0.93,0.92,0.92,300.0
2.0,1.81,0.93,0.92,0.92,300.0
2.0,1.82,0.93,0.92,0.92,300.0
2.0,1.83,0.93,0.92,0.92,300.0
2.0,1.84,0.93,0.92,0.92,300.0
2.0,1.85,0.93,0.92,0.92,300.0
2.0,1.86,0.93,0.92,0.92,300.0
2.0,1.87,0.93,0.92,0.92,300.0
2.0,1.8800000000000001,0.93,0.92,0.92,300.0
2.0,1.8900000000000001,0.93,0.92,0.92,300.0
2.0,1.9000000000000001,0.93,0.92,0.92,300.0
2.0,1.9100000000000001,0.93,0.92,0.92,300.0
2.0,1.9200000000000002,0.93,0.92,0.92,300.0
2.0,1.93,0.93,0.92,0.92,300.0
2.0,1.94,0.93,0.92,0.92,300.0
2.0,1.95,0.93,0.92,0.92,300.0
2.0,1.96,0.93,0.92,0.92,300.0
2.0,1.97,0.93,0.92,0.92,300.0
2.0,1.98,0.93,0.92,0.92,300.0
2.0,1.99,0.93,0.92,0.92,300.0
2.0,2.0,0.93,0.92,0.92,300.0
2.0,2.01,0.93,0.92,0.92,300.0
2.0,2.02,0.93,0.92,0.92,300.0
2.0,2.03,0.93,0.92,0.92,300.0
2.0,2.04,0.93,0.92,0.92,300.0
2.0,2.05,0.93,0.92,0.92,300.0
2.0,2.0599999999999996,0.93,0.92,0.92,300.0
2.0,2.07,0.93,0.92,0.92,300.0
2.0,2.0799999999999996,0.93,0.92,0.92,300.0
2.0,2.09,0.93,0.92,0.92,300.0
2.0,2.0999999999999996,0.93,0.92,0.92,300.0
2.0,2.11,0.93,0.92,0.92,300.0
2.0,2.1199999999999997,0.93,0.92,0.92,300.0
2.0,2.13,0.93,0.92,0.92,300.0
2.0,2.1399999999999997,0.93,0.92,0.92,300.0
2.0,2.15,0.93,0.92,0.92,300.0
2.0,2.1599999999999997,0.93,0.92,0.92,300.0
2.0,2.17,0.93,0.92,0.92,300.0
2.0,2.1799999999999997,0.93,0.92,0.92,300.0
2.0,2.19,0.93,0.92,0.92,300.0
2.0,2.1999999999999997,0.93,0.92,0.92,300.0
2.0,2.21,0.93,0.92,0.92,300.0
2.0,2.2199999999999998,0.93,0.92,0.92,300.0
2.0,2.23,0.93,0.92,0.92,300.0
2.0,2.2399999999999998,0.93,0.92,0.92,300.0
2.0,2.25,0.93,0.92,0.92,300.0
2.0,2.26,0.93,0.92,0.92,300.0
2.0,2.27,0.93,0.92,0.92,300.0
2.0,2.28,0.93,0.92,0.92,300.0
2.0,2.29,0.93,0.92,0.92,300.0
2.0,2.3,0.93,0.92,0.92,300.0
2.0,2.31,0.93,0.92,0.92,300.0
2.0,2.32,0.93,0.92,0.92,300.0
2.0,2.3299999999999996,0.93,0.92,0.92,300.0
2.0,2.34,0.93,0.92,0.92,300.0
2.0,2.3499999999999996,0.93,0.92,0.92,300.0
2.0,2.36,0.93,0.92,0.92,300.0
2.0,2.3699999999999997,0.93,0.92,0.92,300.0
2.0,2.38,0.93,0.92,0.92,300.0
2.0,2.3899999999999997,0.93,0.92,0.92,300.0
2.0,2.4,0.93,0.92,0.92,300.0
2.0,2.4099999999999997,0.93,0.92,0.92,300.0
2.0,2.42,0.93,0.92,0.92,300.0
2.0,2.4299999999999997,0.93,0.92,0.92,300.0
2.0,2.44,0.93,0.92,0.92,300.0
2.0,2.4499999999999997,0.93,0.92,0.92,300.0
2.0,2.46,0.93,0.92,0.92,300.0
2.0,2.4699999999999998,0.93,0.92,0.92,300.0
2.0,2.48,0.93,0.92,0.92,300.0
2.0,2.4899999999999998,0.93,0.92,0.92,300.0
2.0,2.5,0.93,0.92,0.92,300.0
2.0,2.51,0.93,0.92,0.92,300.0
2.0,2.52,0.93,0.92,0.92,300.0
2.0,2.53,0.93,0.92,0.92,300.0
2.0,2.54,0.93,0.92,0.92,300.0
2.0,2.55,0.93,0.92,0.92,300.0
2.0,2.56,0.93,0.92,0.92,300.0
2.0,2.57,0.93,0.92,0.92,300.0
2.0,2.5799999999999996,0.93,0.92,0.92,300.0
2.0,2.59,0.93,0.92,0.92,300.0
2.0,2.5999999999999996,0.93,0.92,0.92,300.0
2.0,2.61,0.93,0.92,0.92,300.0
2.0,2.6199999999999997,0.93,0.92,0.92,300.0
2.0,2.63,0.93,0.92,0.92,300.0
2.0,2.6399999999999997,0.93,0.92,0.92,300.0
2.0,2.65,0.93,0.92,0.92,300.0
2.0,2.6599999999999997,0.93,0.92,0.92,300.0
2.0,2.67,0.93,0.92,0.92,300.0
2.0,2.6799999999999997,0.93,0.92,0.92,300.0
2.0,2.69,0.93,0.92,0.92,300.0
2.0,2.6999999999999997,0.93,0.92,0.92,300.0
2.0,2.71,0.93,0.92,0.92,300.0
2.0,2.7199999999999998,0.93,0.92,0.92,300.0
2.0,2.73,0.93,0.92,0.92,300.0
2.0,2.7399999999999998,0.93,0.92,0.92,300.0
2.0,2.75,0.93,0.92,0.92,300.0
2.0,2.76,0.93,0.92,0.92,300.0
2.0,2.77,0.93,0.92,0.92,300.0
2.0,2.78,0.93,0.92,0.92,300.0
2.0,2.79,0.93,0.92,0.92,300.0
2.0,2.8,0.93,0.92,0.92,300.0
2.0,2.81,0.93,0.92,0.92,300.0
2.0,2.82,0.93,0.92,0.92,300.0
2.0,2.8299999999999996,0.93,0.92,0.92,300.0
2.0,2.84,0.93,0.92,0.92,300.0
2.0,2.8499999999999996,0.93,0.92,0.92,300.0
2.0,2.86,0.93,0.92,0.92,300.0
2.0,2.8699999999999997,0.93,0.92,0.92,300.0
2.0,2.88,0.93,0.92,0.92,300.0
2.0,2.8899999999999997,0.93,0.92,0.92,300.0
2.0,2.9,0.93,0.92,0.92,300.0
2.0,2.9099999999999997,0.93,0.92,0.92,300.0
2.0,2.92,0.93,0.92,0.92,300.0
2.0,2.9299999999999997,0.93,0.92,0.92,300.0
2.0,2.94,0.93,0.92,0.92,300.0
2.0,2.9499999999999997,0.93,0.92,0.92,300.0
2.0,2.96,0.93,0.92,0.92,300.0
2.0,2.9699999999999998,0.93,0.92,0.92,300.0
2.0,2.98,0.93,0.92,0.92,300.0
2.0,2.9899999999999998,0.93,0.92,0.92,300.0
2.0,3.0,0.93,0.92,0.92,300.0
2.0,3.01,0.93,0.92,0.92,300.0
2.0,3.02,0.93,0.92,0.92,300.0
2.0,3.03,0.93,0.92,0.92,300.0
2.0,3.04,0.93,0.92,0.92,300.0
2.0,3.05,0.93,0.92,0.92,300.0
2.0,3.06,0.93,0.92,0.92,300.0
2.0,3.07,0.93,0.92,0.92,300.0
2.0,3.08,0.93,0.92,0.92,300.0
2.0,3.09,0.93,0.92,0.92,300.0
2.0,3.0999999999999996,0.93,0.92,0.92,300.0
2.0,3.11,0.93,0.92,0.92,300.0
2.0,3.1199999999999997,0.93,0.92,0.92,300.0
2.0,3.13,0.93,0.92,0.92,300.0
2.0,3.1399999999999997,0.93,0.92,0.92,300.0
2.0,3.15,0.93,0.92,0.92,300.0
2.0,3.1599999999999997,0.93,0.92,0.92,300.0
2.0,3.17,0.93,0.92,0.92,300.0
2.0,3.1799999999999997,0.93,0.92,0.92,300.0
2.0,3.19,0.93,0.92,0.92,300.0
2.0,3.1999999999999997,0.93,0.92,0.92,300.0
2.0,3.21,0.93,0.92,0.92,300.0
2.0,3.2199999999999998,0.93,0.92,0.92,300.0
2.0,3.23,0.93,0.92,0.92,300.0
2.0,3.2399999999999998,0.93,0.92,0.92,300.0
2.0,3.25,0.93,0.92,0.92,300.0
2.0,3.26,0.93,0.92,0.92,300.0
2.0,3.27,0.93,0.92,0.92,300.0
2.0,3.28,0.93,0.92,0.92,300.0
2.0,3.29,0.93,0.92,0.92,300.0
2.0,3.3,0.93,0.92,0.92,300.0
2.0,3.31,0.93,0.92,0.92,300.0
2.0,3.32,0.93,0.92,0.92,300.0
2.0,3.33,0.93,0.92,0.92,300.0
2.0,3.34,0.93,0.92,0.92,300.0
2.0,3.3499999999999996,0.93,0.92,0.92,300.0
2.0,3.36,0.93,0.92,0.92,300.0
2.0,3.3699999999999997,0.93,0.92,0.92,300.0
2.0,3.38,0.93,0.92,0.92,300.0
2.0,3.3899999999999997,0.93,0.92,0.92,300.0
2.0,3.4,0.93,0.92,0.92,300.0
2.0,3.4099999999999997,0.93,0.92,0.92,300.0
2.0,3.42,0.93,0.92,0.92,300.0
2.0,3.4299999999999997,0.93,0.92,0.92,300.0
2.0,3.44,0.93,0.92,0.92,300.0
2.0,3.4499999999999997,0.93,0.92,0.92,300.0
2.0,3.46,0.93,0.92,0.92,300.0
2.0,3.4699999999999998,0.93,0.92,0.92,300.0
2.0,3.48,0.93,0.92,0.92,300.0
2.0,3.4899999999999998,0.93,0.92,0.92,300.0
2.0,3.5,0.93,0.92,0.92,300.0
2.0,3.51,0.93,0.92,0.92,300.0
2.0,3.52,0.93,0.92,0.92,300.0
2.0,3.53,0.93,0.92,0.92,300.0
2.0,3.54,0.93,0.92,0.92,300.0
2.0,3.55,0.93,0.92,0.92,300.0
2.0,3.56,0.93,0.92,0.92,300.0
2.0,3.57,0.93,0.92,0.92,300.0
2.0,3.58,0.93,0.92,0.92,300.0
2.0,3.59,0.93,0.92,0.92,300.0
2.0,3.5999999999999996,0.93,0.92,0.92,300.0
2.0,3.61,0.93,0.92,0.92,300.0
2.0,3.6199999999999997,0.93,0.92,0.92,300.0
2.0,3.63,0.93,0.92,0.92,300.0
2.0,3.6399999999999997,0.93,0.92,0.92,300.0
2.0,3.65,0.93,0.92,0.92,300.0
2.0,3.6599999999999997,0.93,0.92,0.92,300.0
2.0,3.67,0.93,0.92,0.92,300.0
2.0,3.6799999999999997,0.93,0.92,0.92,300.0
2.0,3.69,0.93,0.92,0.92,300.0
2.0,3.6999999999999997,0.93,0.92,0.92,300.0
2.0,3.71,0.93,0.92,0.92,300.0
2.0,3.7199999999999998,0.93,0.92,0.92,300.0
2.0,3.73,0.93,0.92,0.92,300.0
2.0,3.7399999999999998,0.93,0.92,0.92,300.0
2.0,3.75,0.93,0.92,0.92,300.0
2.0,3.76,0.93,0.92,0.92,300.0
2.0,3.77,0.93,0.92,0.92,300.0
2.0,3.78,0.93,0.92,0.92,300.0
2.0,3.79,0.93,0.92,0.92,300.0
2.0,3.8,0.93,0.92,0.92,300.0
2.0,3.81,0.93,0.92,0.92,300.0
2.0,3.82,0.93,0.92,0.92,300.0
2.0,3.83,0.93,0.92,0.92,300.0
2.0,3.84,0.93,0.92,0.92,300.0
2.0,3.8499999999999996,0.93,0.92,0.92,300.0
2.0,3.86,0.93,0.92,0.92,300.0
2.0,3.8699999999999997,0.93,0.92,0.92,300.0
2.0,3.88,0.93,0.92,0.92,300.0
2.0,3.8899999999999997,0.93,0.92,0.92,300.0
2.0,3.9,0.93,0.92,0.92,300.0
2.0,3.9099999999999997,0.93,0.92,0.92,300.0
2.0,3.92,0.93,0.92,0.92,300.0
2.0,3.9299999999999997,0.93,0.92,0.92,300.0
2.0,3.94,0.93,0.92,0.92,300.0
2.0,3.9499999999999997,0.93,0.92,0.92,300.0
2.0,3.96,0.93,0.92,0.92,300.0
2.0,3.9699999999999998,0.93,0.92,0.92,300.0
2.0,3.98,0.93,0.92,0.92,300.0
2.0,3.9899999999999998,0.93,0.92,0.92,300.0
2.0,4.0,0.93,0.92,0.92,300.0
2.0,4.01,0.93,0.92,0.92,300.0
2.0,4.02,0.93,0.92,0.92,300.0
2.0,4.03,0.93,0.92,0.92,300.0
2.0,4.04,0.93,0.92,0.92,300.0
2.0,4.05,0.93,0.92,0.92,300.0
2.0,4.06,0.93,0.92,0.92,300.0
2.0,4.07,0.93,0.92,0.92,300.0
2.0,4.08,0.93,0.92,0.92,300.0
2.0,4.09,0.93,0.92,0.92,300.0
2.0,4.1,0.93,0.92,0.92,300.0
2.0,4.109999999999999,0.93,0.92,0.92,300.0
2.0,4.12,0.93,0.92,0.92,300.0
2.0,4.13,0.93,0.92,0.92,300.0
2.0,4.14,0.93,0.92,0.92,300.0
2.0,4.1499999999999995,0.93,0.92,0.92,300.0
2.0,4.16,0.93,0.92,0.92,300.0
2.0,4.17,0.93,0.92,0.92,300.0
2.0,4.18,0.93,0.92,0.92,300.0
2.0,4.1899999999999995,0.93,0.92,0.92,300.0
2.0,4.2,0.93,0.92,0.92,300.0
2.0,4.21,0.93,0.92,0.92,300.0
2.0,4.22,0.93,0.92,0.92,300.0
2.0,4.2299999999999995,0.93,0.92,0.92,300.0
2.0,4.24,0.93,0.92,0.92,300.0
2.0,4.25,0.93,0.92,0.92,300.0
2.0,4.26,0.93,0.92,0.92,300.0
2.0,4.27,0.93,0.92,0.92,300.0
2.0,4.28,0.93,0.92,0.92,300.0
2.0,4.29,0.93,0.92,0.92,300.0
2.0,4.3,0.93,0.92,0.92,300.0
2.0,4.31,0.93,0.92,0.92,300.0
2.0,4.32,0.93,0.92,0.92,300.0
2.0,4.33,0.93,0.92,0.92,300.0
2.0,4.34,0.93,0.92,0.92,300.0
2.0,4.35,0.93,0.92,0.92,300.0
2.0,4.36,0.93,0.92,0.92,300.0
2.0,4.37,0.93,0.92,0.92,300.0
2.0,4.38,0.93,0.92,0.92,300.0
2.0,4.39,0.93,0.92,0.92,300.0
2.0,4.3999999999999995,0.93,0.92,0.92,300.0
2.0,4.41,0.93,0.92,0.92,300.0
2.0,4.42,0.93,0.92,0.92,300.0
2.0,4.43,0.93,0.92,0.92,300.0
2.0,4.4399999999999995,0.93,0.92,0.92,300.0
2.0,4.45,0.93,0.92,0.92,300.0
2.0,4.46,0.93,0.92,0.92,300.0
2.0,4.47,0.93,0.92,0.92,300.0
2.0,4.4799999999999995,0.93,0.92,0.92,300.0
2.0,4.49,0.93,0.92,0.92,300.0
2.0,4.5,0.93,0.92,0.92,300.0
2.0,4.51,0.93,0.92,0.92,300.0
2.0,4.52,0.93,0.92,0.92,300.0
2.0,4.53,0.93,0.92,0.92,300.0
2.0,4.54,0.93,0.92,0.92,300.0
2.0,4.55,0.93,0.92,0.92,300.0
2.0,4.56,0.93,0.92,0.92,300.0
2.0,4.57,0.93,0.92,0.92,300.0
2.0,4.58,0.93,0.92,0.92,300.0
2.0,4.59,0.93,0.92,0.92,300.0
2.0,4.6,0.93,0.92,0.92,300.0
2.0,4.61,0.93,0.92,0.92,300.0
2.0,4.62,0.93,0.92,0.92,300.0
2.0,4.63,0.93,0.92,0.92,300.0
2.0,4.64,0.93,0.92,0.92,300.0
2.0,4.6499999999999995,0.93,0.92,0.92,300.0
2.0,4.66,0.93,0.92,0.92,300.0
2.0,4.67,0.93,0.92,0.92,300.0
2.0,4.68,0.93,0.92,0.92,300.0
2.0,4.6899999999999995,0.93,0.92,0.92,300.0
2.0,4.7,0.93,0.92,0.92,300.0
2.0,4.71,0.93,0.92,0.92,300.0
2.0,4.72,0.93,0.92,0.92,300.0
2.0,4.7299999999999995,0.93,0.92,0.92,300.0
2.0,4.74,0.93,0.92,0.92,300.0
2.0,4.75,0.93,0.92,0.92,300.0
2.0,4.76,0.93,0.92,0.92,300.0
2.0,4.77,0.93,0.92,0.92,300.0
2.0,4.78,0.93,0.92,0.92,300.0
2.0,4.79,0.93,0.92,0.92,300.0
2.0,4.8,0.93,0.92,0.92,300.0
2.0,4.81,0.93,0.92,0.92,300.0
2.0,4.82,0.93,0.92,0.92,300.0
2.0,4.83,0.93,0.92,0.92,300.0
2.0,4.84,0.93,0.92,0.92,300.0
2.0,4.85,0.93,0.92,0.92,300.0
2.0,4.86,0.93,0.92,0.92,300.0
2.0,4.87,0.93,0.92,0.92,300.0
2.0,4.88,0.93,0.92,0.92,300.0
2.0,4.89,0.93,0.92,0.92,300.0
2.0,4.8999999999999995,0.93,0.92,0.92,300.0
2.0,4.91,0.93,0.92,0.92,300.0
2.0,4.92,0.93,0.92,0.92,300.0
2.0,4.93,0.93,0.92,0.92,300.0
2.0,4.9399999999999995,0.93,0.92,0.92,300.0
2.0,4.95,0.93,0.92,0.92,300.0
2.0,4.96,0.93,0.92,0.92,300.0
2.0,4.97,0.93,0.92,0.92,300.0
2.0,4.9799999999999995,0.93,0.92,0.92,300.0
2.0,4.99,0.93,0.92,0.92,300.0
2.0,5.0,0.93,0.92,0.92,300.0
3.0,0.01,0.86,0.85,0.85,300.0
3.0,0.02,0.86,0.85,0.85,300.0
3.0,0.03,0.86,0.86,0.86,300.0
3.0,0.04,0.86,0.86,0.86,300.0
3.0,0.05,0.86,0.86,0.86,300.0
3.0,0.060000000000000005,0.86,0.86,0.86,300.0
3.0,0.06999999999999999,0.87,0.86,0.86,300.0
3.0,0.08,0.87,0.87,0.87,300.0
3.0,0.09,0.88,0.87,0.87,300.0
3.0,0.09999999999999999,0.89,0.88,0.88,300.0
3.0,0.11,0.88,0.88,0.88,300.0
3.0,0.12,0.89,0.88,0.88,300.0
3.0,0.13,0.89,0.89,0.89,300.0
3.0,0.14,0.9,0.89,0.89,300.0
3.0,0.15000000000000002,0.9,0.89,0.89,300.0
3.0,0.16,0.9,0.89,0.89,300.0
3.0,0.17,0.9,0.89,0.89,300.0
3.0,0.18000000000000002,0.9,0.9,0.9,300.0
3.0,0.19,0.91,0.9,0.9,300.0
3.0,0.2,0.91,0.9,0.9,300.0
3.0,0.21000000000000002,0.91,0.91,0.91,300.0
3.0,0.22,0.91,0.91,0.91,300.0
3.0,0.23,0.92,0.91,0.91,300.0
3.0,0.24000000000000002,0.91,0.91,0.91,300.0
3.0,0.25,0.92,0.91,0.91,300.0
3.0,0.26,0.92,0.92,0.92,300.0
3.0,0.27,0.92,0.92,0.92,300.0
3.0,0.28,0.92,0.92,0.92,300.0
3.0,0.29000000000000004,0.92,0.92,0.92,300.0
3.0,0.3,0.93,0.92,0.92,300.0
3.0,0.31,0.92,0.92,0.92,300.0
3.0,0.32,0.92,0.92,0.92,300.0
3.0,0.33,0.92,0.92,0.92,300.0
3.0,0.34,0.93,0.92,0.92,300.0
3.0,0.35000000000000003,0.93,0.92,0.92,300.0
3.0,0.36000000000000004,0.93,0.92,0.92,300.0
3.0,0.37,0.93,0.92,0.92,300.0
3.0,0.38,0.93,0.92,0.92,300.0
3.0,0.39,0.93,0.92,0.92,300.0
3.0,0.4,0.92,0.92,0.92,300.0
3.0,0.41000000000000003,0.92,0.92,0.92,300.0
3.0,0.42000000000000004,0.92,0.92,0.92,300.0
3.0,0.43,0.92,0.92,0.92,300.0
3.0,0.44,0.92,0.92,0.92,300.0
3.0,0.45,0.92,0.92,0.92,300.0
3.0,0.46,0.92,0.92,0.92,300.0
3.0,0.47000000000000003,0.93,0.92,0.92,300.0
3.0,0.48000000000000004,0.93,0.92,0.92,300.0
3.0,0.49,0.93,0.92,0.92,300.0
3.0,0.5,0.92,0.92,0.92,300.0
3.0,0.51,0.92,0.92,0.92,300.0
3.0,0.52,0.92,0.92,0.92,300.0
3.0,0.53,0.92,0.92,0.92,300.0
3.0,0.54,0.92,0.92,0.92,300.0
3.0,0.55,0.92,0.92,0.92,300.0
3.0,0.56,0.93,0.92,0.92,300.0
3.0,0.5700000000000001,0.93,0.92,0.92,300.0
3.0,0.5800000000000001,0.93,0.92,0.92,300.0
3.0,0.59,0.93,0.92,0.92,300.0
3.0,0.6,0.93,0.92,0.92,300.0
3.0,0.61,0.93,0.92,0.92,300.0
3.0,0.62,0.93,0.92,0.92,300.0
3.0,0.63,0.93,0.92,0.92,300.0
3.0,0.64,0.93,0.92,0.92,300.0
3.0,0.65,0.93,0.92,0.92,300.0
3.0,0.66,0.93,0.92,0.92,300.0
3.0,0.67,0.93,0.92,0.92,300.0
3.0,0.68,0.93,0.92,0.92,300.0
3.0,0.6900000000000001,0.93,0.92,0.92,300.0
3.0,0.7000000000000001,0.93,0.92,0.92,300.0
3.0,0.7100000000000001,0.93,0.92,0.92,300.0
3.0,0.72,0.93,0.92,0.92,300.0
3.0,0.73,0.93,0.92,0.92,300.0
3.0,0.74,0.93,0.92,0.92,300.0
3.0,0.75,0.93,0.92,0.92,300.0
3.0,0.76,0.93,0.92,0.92,300.0
3.0,0.77,0.93,0.92,0.92,300.0
3.0,0.78,0.93,0.92,0.92,300.0
3.0,0.79,0.93,0.92,0.92,300.0
3.0,0.8,0.93,0.92,0.92,300.0
3.0,0.81,0.93,0.92,0.92,300.0
3.0,0.8200000000000001,0.93,0.92,0.92,300.0
3.0,0.8300000000000001,0.93,0.92,0.92,300.0
3.0,0.8400000000000001,0.93,0.92,0.92,300.0
3.0,0.85,0.93,0.92,0.92,300.0
3.0,0.86,0.93,0.92,0.92,300.0
3.0,0.87,0.93,0.92,0.92,300.0
3.0,0.88,0.93,0.92,0.92,300.0
3.0,0.89,0.93,0.92,0.92,300.0
3.0,0.9,0.93,0.92,0.92,300.0
3.0,0.91,0.93,0.92,0.92,300.0
3.0,0.92,0.93,0.92,0.92,300.0
3.0,0.93,0.93,0.92,0.92,300.0
3.0,0.9400000000000001,0.93,0.92,0.92,300.0
3.0,0.9500000000000001,0.93,0.92,0.92,300.0
3.0,0.9600000000000001,0.93,0.92,0.92,300.0
3.0,0.97,0.93,0.92,0.92,300.0
3.0,0.98,0.93,0.92,0.92,300.0
3.0,0.99,0.93,0.92,0.92,300.0
3.0,1.0,0.93,0.92,0.92,300.0
3.0,1.01,0.93,0.92,0.92,300.0
3.0,1.02,0.93,0.92,0.92,300.0
3.0,1.03,0.93,0.92,0.92,300.0
3.0,1.04,0.93,0.92,0.92,300.0
3.0,1.05,0.93,0.92,0.92,300.0
3.0,1.06,0.93,0.92,0.92,300.0
3.0,1.07,0.93,0.92,0.92,300.0
